32,1,29,46,26
22,45,18,25,3
4,39,19,20,36
18,14,24,32,22
34,8,35,38,7
50,0,16,14,10
6,5,50,15,16
40,6,30,33,48
3,20,48,51,11
0,30,21,12,18
2,29,23,22,41
9,39,0,3,33
30,24,5,23,32
18,5,6,35,39
11,24,2,43,9
44,36,1,19,22
44,2,19,29,25
50,14,26,0,25
14,49,24,28,16
7,39,30,35,0
9,14,29,38,43
30,32,33,8,11
16,8,26,29,9
29,39,3,35,25
41,28,12,24,35
35,5,0,27,43
38,20,48,27,18
19,49,23,30,22
24,41,4,18,19
17,30,45,47,25
12,51,40,0,21
43,40,28,14,35
48,1,16,32,27
37,39,6,19,40
35,22,17,23,36
33,26,38,45,30
48,43,22,20,49
15,26,11,5,20
10,42,29,6,34
40,2,28,15,45
46,37,49,47,35
1,44,15,36,32
23,24,27,15,37
32,29,11,35,26
29,38,45,14,50
1,10,33,7,41
8,11,50,16,28
18,46,39,9,44
0,19,10,23,15
21,12,34,30,31
48,21,28,0,8
24,33,36,11,28
50,42,19,6,21
24,9,30,15,8
4,1,24,23,44
16,29,5,10,14
25,43,2,12,35
17,38,42,28,14
36,3,33,13,40
40,28,27,36,34
18,13,38,41,7
35,36,14,20,48
26,37,8,2,48
39,43,42,37,6
37,19,26,15,47
3,6,44,11,16
4,7,46,15,14
29,10,40,35,14
30,32,24,3,51
5,18,19,12,16
42,31,4,36,15
46,24,40,34,23
51,19,14,34,47
42,2,3,26,29
35,11,0,33,46
8,0,50,2,42
23,31,49,2,10
14,16,42,28,25
20,43,47,44,26
45,1,35,28,16
30,8,2,38,45
48,30,26,6,0
26,17,36,20,35
47,32,45,12,26
41,9,10,21,3
35,39,29,0,14
40,48,3,14,38
44,24,5,28,26
36,38,17,51,50
30,15,0,29,19
40,42,1,22,7
0,27,29,43,8
22,27,45,7,37
26,15,8,47,25
18,6,27,47,51
6,10,37,7,35
0,40,21,5,4
25,42,32,28,16
39,38,21,15,26
25,18,23,50,21
32,45,0,39,15
36,19,9,10,24
25,30,27,3,11
16,34,51,38,25
27,10,37,16,22
2,15,39,14,44
41,18,31,27,12
36,44,5,26,2
48,49,43,0,12
47,21,41,26,19
16,10,28,17,12
0,23,37,2,20
10,16,48,36,29
14,24,41,22,8
7,5,46,22,48
40,23,19,26,35
6,42,1,45,35
43,7,44,29,37
21,35,20,28,18
12,48,45,38,8
43,45,26,50,7
38,13,29,1,24
28,10,20,5,41
4,18,10,0,41
17,45,9,23,31
35,51,23,45,43
35,15,26,14,0
1,8,24,45,20
33,18,50,2,21
13,51,38,26,50
4,28,3,32,51
4,25,45,50,15
36,42,35,18,13
22,46,11,45,4
45,17,21,36,29
6,3,10,11,51
37,6,20,40,47
15,30,24,21,37
13,17,46,25,48
11,29,37,20,7
35,6,34,18,19
17,10,44,33,34
31,51,2,9,24
30,4,13,33,21
39,35,29,17,9
22,8,29,45,49
30,15,4,12,48
25,27,32,34,35
22,17,24,39,13
24,42,12,45,14
30,37,1,47,32
43,49,39,8,14
5,36,15,9,28
19,4,50,17,7
42,3,23,8,29
19,50,1,37,17
45,0,41,10,37
17,24,18,9,51
12,32,22,14,21
2,30,45,16,26
7,15,35,11,25
24,28,45,2,39
2,43,10,30,4
35,3,31,7,39
37,50,8,9,4
3,42,6,24,25
44,15,14,1,51
48,20,40,15,42
3,2,48,24,26
20,1,2,13,3
41,21,5,50,49
43,32,33,24,21
5,44,47,9,15
23,41,13,39,8
19,9,47,12,3
27,11,34,41,19
18,1,28,42,34
8,46,5,17,49
2,13,35,51,34
8,21,51,31,16
42,35,18,37,1
51,7,3,44,47
37,0,11,15,36
31,16,27,19,40
12,8,3,26,36
11,30,4,13,47
19,25,13,24,16
25,41,13,39,12
7,16,2,45,31
22,48,18,6,30
26,31,35,12,8
13,18,42,5,3
40,39,15,36,25
11,47,5,12,42
51,28,20,26,36
30,29,18,6,37
32,46,19,26,43
45,8,30,12,44
43,40,48,21,30
0,1,33,49,6
28,46,5,50,26
6,47,46,8,35
13,49,46,19,31
20,43,10,18,3
37,15,45,43,27
35,33,22,51,50
21,18,3,41,2
13,14,1,36,33
28,37,32,23,16
44,10,4,19,5
31,2,44,28,21
40,15,39,14,27
25,34,45,16,35
43,47,9,13,16
13,17,46,2,12
43,6,9,14,37
24,2,20,7,37
0,34,37,14,23
45,51,35,12,21
22,49,35,8,29
19,24,0,46,1
13,18,27,36,32
19,2,6,7,29
25,10,30,33,6
3,31,26,51,18
50,5,26,46,21
32,9,28,41,21
31,22,3,17,34
4,8,37,43,12
41,21,5,35,37
3,15,28,18,21
15,46,1,4,8
1,30,14,41,43
4,26,15,28,32
25,24,18,23,9
10,21,3,35,28
8,0,42,1,17
16,15,17,41,24
13,29,51,15,9
23,4,25,28,11
21,47,42,34,43
42,13,45,37,35
16,21,11,15,38
32,25,40,12,19
38,28,39,26,33
3,0,26,2,19
21,28,41,35,29
22,32,16,2,13
11,45,7,49,38
27,51,23,25,21
20,51,8,32,25
25,39,48,34,21
34,13,6,23,29
18,9,0,41,7
34,18,35,40,23
49,20,14,34,21
25,42,9,6,49
51,14,41,48,43
28,38,51,12,43
33,35,31,44,36
14,48,21,12,31
41,37,46,42,15
38,2,26,19,5
1,30,24,50,20
3,5,44,17,16
13,6,43,34,38
14,15,44,39,10
38,11,17,42,8
4,21,41,0,39
8,24,18,49,20
50,45,30,9,15
20,1,33,21,48
20,25,23,45,24
32,25,7,31,50
51,38,15,24,50
28,3,29,35,37
12,24,11,3,51
25,42,39,18,37
13,22,26,15,24
7,19,20,36,40
41,43,14,23,7
49,1,39,40,32
49,20,9,46,47
22,23,42,24,19
13,10,19,38,51
3,46,1,33,44
14,51,31,16,11
28,8,30,7,23
2,28,10,46,30
13,39,45,14,2
14,1,46,31,45
16,42,36,33,21
50,3,1,12,32
2,6,50,40,38
4,15,24,19,34
33,9,49,11,47
20,9,23,22,29
37,16,43,14,10
50,12,29,4,35
2,7,31,30,4
36,44,45,46,22
31,18,13,45,51
41,1,25,26,4
5,25,7,50,44
4,50,29,45,6
2,34,23,7,40
22,42,41,24,27
45,41,30,38,11
46,36,0,37,2
23,29,16,36,39
10,19,14,35,51
14,31,40,21,8
34,49,23,5,36
16,14,15,48,34
34,41,32,45,43
13,42,11,43,38
47,12,37,45,33
50,43,22,8,13
0,5,45,2,35
18,32,7,49,9
15,12,27,13,7
13,2,40,49,47
29,40,26,20,7
38,51,27,50,0
50,4,36,16,45
7,9,45,44,34
19,47,43,1,9
43,0,15,8,21
19,32,13,50,47
21,31,19,33,44
20,31,7,32,51
38,48,49,18,10
11,27,47,8,16
51,42,21,9,6
6,15,49,17,12
22,37,11,17,25
22,16,15,5,31
2,38,20,46,24
35,36,12,39,37
10,4,34,29,31
23,43,24,45,12
38,32,48,4,30
6,39,41,30,31
2,6,24,51,13
18,7,33,12,43
18,46,21,25,20
24,6,7,5,19
43,39,44,37,27
21,0,40,32,15
19,8,20,29,18
5,32,41,30,14
30,10,26,19,44
34,24,32,33,31
6,41,10,19,31
15,10,20,23,8
11,33,25,27,3
31,38,41,7,45
5,35,40,15,26
46,3,43,8,13
27,49,38,26,36
44,31,18,15,24
37,9,42,16,47
24,22,23,39,13
51,30,18,20,28
0,6,40,15,50
40,16,28,3,25
38,19,13,33,21
48,37,18,14,40
31,2,9,33,37
10,17,19,41,23
11,1,6,31,39
7,21,36,44,0
41,39,8,35,48
11,31,42,10,19
0,7,38,35,28
27,44,3,37,36
34,41,12,9,47
19,9,25,13,44
50,21,39,17,1
0,33,19,6,41
10,33,14,34,49
32,16,17,10,24
5,3,31,51,14
38,27,34,45,23
42,3,33,10,48
20,13,26,37,34
15,37,4,14,47
32,50,45,41,13
45,5,49,30,33
35,10,39,2,49
21,37,34,8,11
13,36,2,37,28
41,43,20,17,25
6,36,49,16,41
17,44,49,0,50
50,9,51,7,35
48,26,27,21,12
1,13,33,49,40
47,16,35,27,42
29,16,1,5,19
27,23,45,39,18
9,44,15,7,2
8,41,22,21,27
26,4,49,15,43
44,6,46,45,32
21,15,40,29,51
46,8,48,14,7
42,6,5,34,51
35,12,14,10,8
44,51,42,27,43
10,2,11,24,31
34,51,13,42,32
39,4,6,13,25
37,49,3,24,44
10,32,19,28,26
27,19,50,29,17
35,49,39,19,13
39,25,36,45,8
21,11,36,45,6
6,17,11,38,10
12,28,16,0,7
5,27,20,4,6
9,31,44,47,19
20,19,28,41,27
1,33,7,21,40
26,13,47,27,42
46,43,26,22,18
11,21,48,1,35
7,13,28,6,2
38,4,3,34,10
7,13,17,40,49
29,47,15,44,4
25,33,47,46,0
19,15,6,35,43
2,12,10,11,47
35,40,10,27,38
25,14,0,33,24
17,46,51,8,23
13,46,35,50,19
42,20,44,10,49
1,36,10,22,29
31,43,39,14,0
10,19,25,18,34
10,30,1,14,46
22,30,46,18,25
47,22,18,17,16
28,8,10,27,49
3,48,26,42,40
50,6,45,14,9
8,9,15,41,31
28,13,46,31,34
3,44,19,30,4
29,46,19,5,3
22,4,29,33,21
9,30,21,32,31
2,15,18,3,21
44,46,33,12,29
20,35,29,12,3
46,48,36,31,37
11,15,5,46,35
45,34,28,30,46
47,38,32,16,27
47,26,49,46,39
36,9,28,23,7
28,30,14,34,31
11,20,41,6,24
48,39,35,26,5
4,49,14,6,42
45,6,49,48,2
19,9,43,36,27
23,18,21,11,33
18,48,19,17,11
18,24,2,33,13
2,25,41,5,1
9,20,22,42,10
9,28,44,21,3
34,22,41,25,16
12,8,43,46,0
9,7,21,40,37
37,2,43,20,44
50,44,23,34,33
8,36,41,44,31
5,39,17,18,42
